bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
1.0,1,cb0ecd5356125b546833239efdb154c2,2016-05-19 05:07:14,- Spacious and bright one bedroom residence - Huge windows soak rooms in sunlight- State of the art kitchen- Abundant closet space- Full service buildingCall or email me anytime!,Gold Street,"['Washer in Unit', 'Dryer in Unit', 'Dishwasher', 'Elevator', 'Cats Allowed', 'Dogs Allowed']",40.6969,7038391,-73.983,251efd0354815b080d11d10dbe431e2f,"['https://photos.renthop.com/2/7038391_2bb3e97880e309bda7818d3a304f61a3.jpg', 'https://photos.renthop.com/2/7038391_bdc9117e8caf75629901a9195503669a.jpg', 'https://photos.renthop.com/2/7038391_8cc88a278d05bead4c29bb0079b2e11d.jpg', 'https://photos.renthop.com/2/7038391_9203e08c2bc82c494fff4f0fe01ff2a7.jpg']",2950,257 Gold Street,low
1.0,2,df31a1facdd436a204db8717feb385bc,2016-04-07 10:46:01,"""Furnished Unique Oasis With Private Lounge PatioSPACIOUS, BRIGHT, LUXURY 2BR!! GREAT LOCATION, GREAT PRICE!! -Hardwood floors -Generous closet space -High ceilings -Fantastic sun exposure -Renovated kitchen -Close to transportation -Spacious layout CALL/ TEXT/ EMAIL: kagglemanager@renthop.com 624-150-8136Bond New York is a real estate broker that supports equal housing opportunity.""",212 E 12Th Street ,[],40.7315,6840429,-73.9875,c71cf1f472cf9b4b4517ea23fb6f2c91,"['https://photos.renthop.com/2/6840429_694ad5d4bd7af8603ba21f4cc68586d8.jpg', 'https://photos.renthop.com/2/6840429_066c81e42a740d800bd636a645f1dbb4.jpg', 'https://photos.renthop.com/2/6840429_83f0ef73a83f80efd49ea08ccb564a83.jpg', 'https://photos.renthop.com/2/6840429_bc86565cb9d5e280e94cdee7a2781bd3.jpg', 'https://photos.renthop.com/2/6840429_34e2ad11544c4c9820768ca62aea0bf0.jpg', 'https://photos.renthop.com/2/6840429_357b2ef466bad586e6b54f49f4e37209.jpg']",6500,212 E 12Th Street ,low
1.0,2,0,2016-04-16 03:44:51,"AMAZING DEAL IN THE HEART OF MIDTOWN OFFERING NO FEE & 1.5 MONTHS FREE very PET-FRIENDLY BUILDING (vet on site) !!State-of-the-art wellness center and health club, on-site indoor parking, indoor and outdoor swimming pools, two outdoor decks with green space for sunbathing, bocce and yoga, indoor basketball, boxing studio, outdoor putting green, indoor/outdoor ping pong, outdoor amphitheater, juice bar, spinning studio, spa facilities and a lot more.<br /><br />Contact Lauren Smith for viewings.Interested in the Floor Plan? Be sure to email me.<br /><br /><br /><br /><br /><br />-------------Listing courtesy of Miron Properties. All material herein is intended for information purposes only and has been compiled from sources deemed reliable. Though information is believed to be correct, it is presented subject to errors, omissions, changes or withdrawal without notice.  Miron Properties is a licensed Real Estate Broker.  www.MironProperties.com<p><a  website_redacted ",West 54th Street,"['Swimming Pool', 'Dining Room', 'Doorman', 'Fitness Center', 'Garden/Patio', 'Laundry in Building', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space']",40.7678,6882908,-73.9915,68544f124cd5306be1de2fb45ae9d6a4,"['https://photos.renthop.com/2/6882908_a6bbc1230c6b73d74f7b2edaeb96074d.jpg', 'https://photos.renthop.com/2/6882908_f6176500ad9956faf034f38ff48bfdf8.jpg', 'https://photos.renthop.com/2/6882908_3a61a04bb680d398e0a376d808c1bd5c.jpg', 'https://photos.renthop.com/2/6882908_606974f0c697ec8f0b1e9804777346b0.jpg']",5711,550 West 54th Street,low
1.0,0,5a2ae43255e70098eba3127f169253f7,2016-06-09 03:44:58,"UNDER MARKET PRICED Studio on Mid 20's in Gramercy! Laundry BuildingLarge Gramercy studio for under $2000!!!!!Renovated and spacious with a separate kitchen. Amazing neighborhood with plenty of shopping, restaurants and nightlife, 2 blocks from subway.Call, text or e-mail Ivo for an exclusive viewing of this and many other NYC listings. I have total Manhattan coverage including listings not advertised online!<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",E 26 Street,"['Loft', 'Laundry in Unit', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",40.7399,7130424,-73.9805,d9039c43983f6e564b1482b273bd7b01,"['https://photos.renthop.com/2/7130424_9ca910da4a58b66bc40f1f0e04a0c488.jpg', 'https://photos.renthop.com/2/7130424_1079653bba297b9a31b34a07abedae59.jpg', 'https://photos.renthop.com/2/7130424_3d6a44ca7e1cc20c2b465a82249c9555.jpg', 'https://photos.renthop.com/2/7130424_b3b8a5b84fe6717e38ef324203be69f5.jpg']",1850,228 E 26 Street,medium
1.0,0,0,2016-04-28 01:21:13,"Fabulous studio located in a beautiful, trendy neighborhood within close proximity to subways, shops, restaurants and parks. The apartment features gorgeous, high-end renovations including hardwood floors, stainless steal appliances granite countertops and marble bathroom. ",West 22nd Street,['Pre-War'],40.7458,6934472,-74.0021,0626abea05161a6ceab79199e3e0ba86,"['https://photos.renthop.com/2/6934472_af3476e1e01f820ee0b738e4237aa303.jpg', 'https://photos.renthop.com/2/6934472_59d6b1d08461faf4b5ba1e44b2a9a39b.jpg']",2350,400 West 22nd Street,low
1.0,0,0,2016-04-27 01:27:21,"**MIDTOWN WEST** Amazing light-filled top floor studio! This unit boasts southern exposure, and two closets, a recently renovated bathroom, separate kitchen with lots of cabinets & counter space, and the best LOCATION in Manhattan! An easy stroll from Central Park, Columbus Circle, Carnegie Hall and more!! The building features 24-hour concierge, on-site resident manager, valet service, laundry room and on-site garage. Multiple train lines close by, N, Q, R, M, A, B, D, and E, C & 1.Please call, text or email me to see this one or any others, I have access to hundreds of apartment in NYC. ",West 56th Street,['Doorman'],40.7654,6928889,-73.9816,675eb93a50fe1f81f1b86428f3477000,"['https://photos.renthop.com/2/6928889_5b3ee6842e7bcf2cdba4d8ddfe4fbbd3.jpg', 'https://photos.renthop.com/2/6928889_f2fc4fd93a9ce061dfc34f15a3a7ad5c.jpg', 'https://photos.renthop.com/2/6928889_40ff7d3d9f67f90fb1baee53161ae328.jpg', 'https://photos.renthop.com/2/6928889_2000e9ef28b9f3c3bb27777878886b84.jpg']",2695,211 West 56th Street,low
1.0,3,dff45c8299bb54e1438d6427afb7a871,2016-05-16 11:00:05,"#UES- Perfect for #Shares-90th Street between Park and Lex- Massive true size 3 bedroom apartment has a spacious living room that can fit a full living room set, and the 3 bedrooms can each fit a king or queen size bed with room for additional furniture. There is an eat-in kitchen with a pantry and plenty of cabinets, tons of closet space(2 are walk-in), high ceilings, inlaid hardwood floors, and multiple AC units. With only2 apartments per floor, there is plenty of room and privacy.Well maintained building, close to the subway, shopping, restaurants, and short walk to Central Park.*This is a broker fee apartment* - To schedule a viewing text/call Allison at 143-889-9897 or via email kagglemanager@renthop.com Ask me about our other exclusive apartments.",129 East 90th Street,"['Cats Allowed', 'Exclusive', 'High Ceilings', 'over sized apartment']",40.7823,7019903,-73.9538,689573e6b716c063e74b4b16c97c29d3,"['https://photos.renthop.com/2/7019903_61aacd0ad823fa3d3fe6c23ce5449d84.jpg', 'https://photos.renthop.com/2/7019903_1fa0dfed41cc42fce4a7cdaec931c9ef.jpg', 'https://photos.renthop.com/2/7019903_104d5f9b32c5c4fc7e1925e572e88d1c.jpg', 'https://photos.renthop.com/2/7019903_46b2f868e551bbe5cb42dc209ce265fa.jpg', 'https://photos.renthop.com/2/7019903_3a0e2d15d610d0a16373d32c6a394dd5.jpg', 'https://photos.renthop.com/2/7019903_1cfbbe64f3472d614f7b49a6f6e4e527.jpg']",4100,129 East 90th Street,medium
1.0,2,0,2016-06-04 01:16:09,Sunny 2 Bedroom with all New Renovations and Full appliances!Queen Sized Bedrooms have exposed brick and large closets. This is a Prime location at a spectacular price!*** Please feel free to contact me about any listing that you see on the website. I have access to everything and would love to work with you. ,West Houston Street,['Pre-War'],40.7288,7106321,-74.0031,75f181f7bc934b5ab7e575ffaa41bd05,"['https://photos.renthop.com/2/7106321_5ff80065bc35f56aa85a9682d1b987f0.jpg', 'https://photos.renthop.com/2/7106321_f460f3216130c32d48f0f1894f5523e4.jpg', 'https://photos.renthop.com/2/7106321_dbcf55477f92aed4c6d139246c2e1bfb.jpg']",3150,178 West Houston Street,low
1.0,2,314366a99984cb8c4a34492106d71f25,2016-04-15 05:04:23,,Fifth Avenue,"['Elevator', 'Cats Allowed', 'Dogs Allowed', 'Exclusive']",40.7967,6877979,-73.9485,d1737922fe92ccb0dc37ba85589e6415,[],2900,1295 Fifth Avenue,low
1.0,2,826fcff7bdea9b58451113ba492304b2,2016-06-09 05:21:45,"4TH ST/ 1ST AVENUE!! TRUE 2 BEDROOM W/ EXPOSED BRICK WALLS SS APP KITCHEN AND NEWLY RENOVATED BATHROOMS! MASSIVE UNIT- PERFECT PLACE! Large true 2 bedroom with exposed brick walls, a gut renovated stainless steel appliances kitchen, granite counter tops, dishwasher, and full appliances. Washer and dryer in unit! North facing Views and great sun light exposure. Oak floors throughout the entire unit! Each bedroom easily fits a queen size bed, drawer and nightstand. Gorgeous unit located in the East Village neighborhood near by restaurants, coffee shops and nighttime life! *low fee**Please don't call on Shabbat (Saturday).<br /><br />To view feel free to call email Lior (402-600-7123 kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",East 4th Street,"['Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee']",40.7255,7131606,-73.9884,2a1ee03b449700c3a15dd8c9a505c525,"['https://photos.renthop.com/2/7131606_90ba12f0b40ff8a24afe0e2a81321e88.jpg', 'https://photos.renthop.com/2/7131606_8531f8158dfd1bdc5185383e50193697.jpg', 'https://photos.renthop.com/2/7131606_670e3c0ac6ce786fc8aeacc8bfd53597.jpg', 'https://photos.renthop.com/2/7131606_6cf61657ac2432fee933ffad7a4301f5.jpg']",3250,108 East 4th Street,high
3.0,3,8dbdafdf2f5f3ac31ecd0c41c6858669,2016-05-21 05:43:58,"ABSOLUTELY GORGEOUSSS 3BR 3BA sensational new glass tower at Park Avenue South, poised to redefine the Manhattan skyline. Designed by architect Christian de Portzamparc, this extraordinary new high-rise provides an opportunity to live in what will be a new architectural landmark in New York City. Located steps from Madison Square Park and among celebrated neighborhoods including Gramercy Park, Union Square and NoMad, provides a vibrant downtown lifestyle with world-class restaurants, parks, shopping, and convenient transportation options. and an array of all-inclusive, first-class amenities. WASHER AND DRYER IN UNIT<br /><br />AmenitiesLivingFloor-to-Ceiling WindowsPrivate Terrace in Select HomesWide Plank White Oak Wood FloorsCityscape and River Views in Select HomesCustom Walk-In ClosetsCustom Medicine Cabinets and LightingKitchenStainless Steel Appliances and Quartz CountertopsBrushed Nickel FixturesConvenienceExtra Storage AvailableWasher and Dryer in Every HomeHand Showers and Rain Shower HeadsBathroomWhite Pearl Marble CountertopsFeatures may vary by apartmentCommunityOutdoorGarden CourtyardLocationConvenient Access to the 6, N, and R Subway LinesWalk to Madison Square Park and Green MarketsSteps from Eataly and World-Class RestaurantsCommonThe Following Amenities are All-Inclusive:Resident Lounge with Catering Kitchen24-Hour ConciergeState-of-the-Art Fitness CenterScreening RoomChildren's Play RoomSteam Room and SaunaOn-Site ManagementSmoke-Free LivingConference Meeting Room60-Foot Indoor Lap PoolYoga and Spin RoomPrivate Dining RoomGolf Simulator<br /><br />NO FEEE NOO FEEEMUST SEE<br /><br />PLEASE CALL OR TEXT ISAAC 574-766-3744 OR EMAIL kagglemanager@renthop.com<p><a  website_redacted ",East 28th Street,"['Dining Room', 'Balcony', 'Garden/Patio', 'Terrace', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space']",40.7434,7050050,-73.9846,dbbb6b990661b1e507a387f019bcb1a0,"['https://photos.renthop.com/2/7050050_3f72b923757da9af8bc4b2d46bca0722.jpg', 'https://photos.renthop.com/2/7050050_790ba0a9d5d9b446bf6333473fef4a94.jpg', 'https://photos.renthop.com/2/7050050_89d808b6dde2424e7dfd50cfafb60e13.jpg', 'https://photos.renthop.com/2/7050050_16d07d8f508e59b9b46a7c8bbba8e318.jpg', 'https://photos.renthop.com/2/7050050_8d5d3544e4ac40e17c966b2e222e7bef.jpg', 'https://photos.renthop.com/2/7050050_e32aa592b2e41b4bcfb124bf850e30ce.jpg']",8995,50 East 28th Street,low
1.0,2,17ebdbfc3f9c496062cef7fc9baef066,2016-04-30 04:29:36,"Seeing is believing. Do not wait. Prime living in a prime location. Call, text or email Lucas for an exclusive showing of this and many more listings in NYC.  <br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",E 9 Street,"['Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'Cats Allowed']",40.7258,6947262,-73.9798,ffd7307e4924587b30ec014a95db1362,"['https://photos.renthop.com/2/6947262_99145f58fd6a22893eadb5e75a6fc2ec.jpg', 'https://photos.renthop.com/2/6947262_494e133ea4d2db98dc94d437ae7f2925.jpg', 'https://photos.renthop.com/2/6947262_2685171f99e71685c6113bf371f64deb.jpg', 'https://photos.renthop.com/2/6947262_a5b051d01107fb70a8193d7a65594aeb.jpg', 'https://photos.renthop.com/2/6947262_1ba8bc4544d23c88379e448383cba022.jpg', 'https://photos.renthop.com/2/6947262_e588188749d301a593734dedb3ec5648.jpg', 'https://photos.renthop.com/2/6947262_9960161b7f2103ebcdf2713e1ea36f76.jpg']",3450,610 E 9 Street,low
